PPOS;rfp;HFG;salesName
SAB-TC377TX_ED-292_CU;SAK-TC377TX-96F300S;X;SAK-TC377TE-96F300S AB
SAB-TC377TP_PD-292_CU;SAK-TC377TP-96F300S;X;SAK-TC377TP-96F300S AA
SAB-TC377TX_ED-292_CU;SAK-TC377TX-96F300S;X;SAK-TC377TX-64F300S AB
SAB-TC377TX_ED-292_CU;SAK-TC377TX-96F300S;X;SAK-TC377TX-96F300S AA
SAB-TC377TX_ED-292_CU;SAK-TC377TX-96F300S;X;SAK-TC377TX-96F300S AB
SAB-TC377TP_PD-292_CU;SAK-TC377VS-96F300S;X;SAK-TC377VS-96F300S AA
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S;X;SAK-TC387QE
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S_AE;X;SAK-TC387QN-160F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S_AE;X;SAK-TC387QN-160F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S;X;SAK-TC387QP-160F300S AB
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S;X;SAK-TC387QP-160F300S AD
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S_AE;X;SAK-TC387QP-160F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S_AE;X;SAK-TC387QP-160F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387QP-160F300S;X;SAK-TC387QP-DC
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S;X;SAK-TC387TP-128F300S AD
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S_AE;X;SAK-TC387TP-128F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S_AE;X;SAK-TC387TP-128F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S_AE;X;SAK-TC387TP-128F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S_AE;X;SAK-TC387TP-128F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S;X;SAK-TC387TP-160F300S AD
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S_AE;X;SAK-TC387TP-160F300S AE
SAB-TC387QP_PD-292_CU;SAK-TC387TP-XXXF300S_AE;X;SAK-TC387TP-160F300S AE
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S;X;SAK-TC389QE
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S_AE;X;SAK-TC389QN-160F300S AE
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S_AE;X;SAK-TC389QN-160F300S AE
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S;X;SAK-TC389QP-160F300S AC
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S;X;SAK-TC389QP-160F300S AD
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S_AE;X;SAK-TC389QP-160F300S AE
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S_AE;X;SAK-TC389QP-160F300S AE
SAB-TC389QP_PD-516_CU;SAK-TC389QP-160F300S;X;SAK-TC389QP-DC
SAB-TC397X_PDED-292_CU;SAK-TC397QA-160F300S;X;SAK-TC397QA-160F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397QA-160F300S_BD;X;SAK-TC397QA-160F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397QA-160F300S_BD;X;SAK-TC397QA-160F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397QP-256F300S;X;SAK-TC397QP-192F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397QP-256F300S_BD;X;SAK-TC397QP-192F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397QP-256F300S_BD;X;SAK-TC397QP-192F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397QP-256F300S;X;SAK-TC397QP-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397QP-256F300S_BD;X;SAK-TC397QP-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397QP-256F300S_BD;X;SAK-TC397QP-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397TT-256F300S;X;SAK-TC397TT-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S;X;SAK-TC397XA-256F300S BA
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S;X;SAK-TC397XA-256F300S BB
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S;X;SAK-TC397XA-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S_BD;X;SAK-TC397XA-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S_BD;X;SAK-TC397XA-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S;X;SAK-TC397XA-AGBT_AA
SAB-TC397X_PDED-292_CU;SAK-TC397XA-256F300S;X;SAK-TC397XA-DCS-S
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XE
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XE-256F300S AA
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XE-256F300S BA
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XE-256F300S BB
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XE-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XE-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XE-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XM-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XM-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XM-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XP-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S;X;SAK-TC397XP-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XP-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XP-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XP-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XP-256F300S_BD;X;SAK-TC397XP-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XT-256F300S;X;SAK-TC397XT-256F300S BB
SAB-TC397X_PDED-292_CU;SAK-TC397XT-256F300S;X;SAK-TC397XT-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XT-256F300S;X;SAK-TC397XT-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XT-256F300S;X;SAK-TC397XT-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XX-256F300S;X;SAK-TC397XX-256F300S BB
SAB-TC397X_PDED-292_CU;SAK-TC397XX-256F300S;X;SAK-TC397XX-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XX-256F300S_BD;X;SAK-TC397XX-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XX-256F300S_BD;X;SAK-TC397XX-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XZ-256F300S;X;SAK-TC397XZ-256F300S BC
SAB-TC397X_PDED-292_CU;SAK-TC397XZ-256F300S_BD;X;SAK-TC397XZ-256F300S BD
SAB-TC397X_PDED-292_CU;SAK-TC397XZ-256F300S_BD;X;SAK-TC397XZ-256F300S BD
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XE
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XE-256F300S AA
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XE-256F300S BB
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XE-256F300S BC
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S_BD;X;SAK-TC399XE-256F300S BD
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S_BD;X;SAK-TC399XE-256F300S BD
